,comments,label
6763,왜 상하단 베젤이 다르지.. 펜 때문인가 노트 10은 덜 그러는데...,
6764,하 노트10 살걸,
6765,카툭튀만 아니면 봐줄만한데... 카메라 눈 3개 치고는 예쁘게 디자인 된 것 같아요ㅠㅠ 그래도 카툭튀는 좀 고쳤으면 좋겠어요,
6766,오 노..,
6767,아... 폰 바꿀 때 됐는데 도대체 뭘로 바꿔야 할지... 하하,
6768,아이폰7+는 어디로 가야할지...,
6769,노트 20만 기다리고 있었는데...,
6770,예쁜데 아 ... 10+ 약정 언제 다되나 20 다음거 사야겠네요... ㅠ,
6771,노트20기다렸는데 정했습니다 제트플립사러갑니다,
6772,노트10플 사길 진짜 잘했다.....,
6773,헐 대박 엣지 없어졌네요????? 어 이건 당장요건데,
6774,대각선 모서리보니까 엣지있는것같아요 근데 엣지가 s9부터 굴곡이 나아져서(?)  괜찮습니다!,
6775,아 카메라... 좀...,
6776,파워레인저 감성 ㄷ,
6777,파워레인저 감성 ㄷ,
6778,국산 갑시다!!!!!!!!불매운동 쭉 합니다!,
6779,국산 갑시다!!!!!!!!불매운동 쭉 합니다!,
6780,우오오,
6781,간지..,
6782,오오오오,
6783,오오,
6784,오오,
6785,와,
6786,와...,
6787,오오오,
6788,울트라 최고예용 ㅜㅜ,
6789,ㅋㅋㅋㅋㅋㅋ그래서 멀리있는거 글씨 안보이면 카메라로 확대해서 봐요ㅋㅋㅋㅋㅋㅋㅋㅋㅋ,
6790,이번달이에요..?,
6791,아뇨아뇨 나온지ㅡ지났어요ㅠㅜㅜ!!,
6792,귀엽따,
6793,지금 저 하늘색 케이스 쓰는데 아주 크고 무겁지만 귀여워용,
6794,ㅋㅋㅋ아주 크고 무겁지만ㅋㅋㅋㅋㅠㅠㅠ,
6795,>>>>아주 크고 무겁지만<<<< ㅋㅋㅋㅋ,
6796,카세트  너무 이쁘네요,
6797,우와 귀엽네여,
6798,"예쁘고 귀여운데 생각보다 저한텐 넘 크네여,,,ㅜㅜ",
6799,할ㅋㅋ 너무 구엽다..,
6800,티비 넘 이쁘게잘썼어여 이젠 테두리 때탔지만ㅠㅠ,
6801,빨간 마이마이에 빨간 버즈 샀는데 완전 찰떡으로 이뻐요,
6802,출시때 바로 못사서 케이스는 없지ㅣ만 후회하지 않아요 넘나 예쁩니다....ㅠㅠㅠ,
6803,실례지만 버즈를 두개 사신건가요? 넘 예뻐요,
6804,아뇽 최근에 양쪽 색깔 다르게/케이스 색 다르게도 출시했어요!!,
6805,헐 대박.. 정보 감사합니다!,
6806,와 너무 예뻐요!!!!,
6807,"헐 이거 너무 이뻐요,,,,,",
6808,실례합니다 혹시 페어링이 끊기진 않으신가요 ?,
6809,넵! 지금까지 한번도 끊긴적은 없어요~,
6810,넵 답변 감사합니다 !,
6811,시조새 파킹쓰,
6812,이제 못구하는거죠..?,
6813,아뇨 계속 팔아용 2만원정도에요,
6814,헉 귀엽ㅋㅋㅋㅋ,
6815,오 예뻐요 ㅋㅌㅋㅌㅋ,
6816,헐귀엽다,
6817,헐 귀여워요,
6818,빨간색 받았는데 불편해요충전할때 분리해야 해서...,
6819,엄 저는 패스욬ㅋㅋㅋㅋ 낫마스,
6820,오 예쁘고 귀엽다,
6821,이거 진짜 귀여운 거 같아요ㅠㅠㅠ 실물 더 ㅠㅠ,
6822,아이폰 쓰는데 저거 때문에 버즈 고민했었어요ㅜㅜㅡ넘 이뻐,
6823,아 너무 예쁘다..ㅠㅠㅠㅠㅠㅠ,
6824,왕 진짜 귀엽당...,
6825,오 두번째 취저...,
6826,헐 귀여워용,
6827,갤럭시 플러스 너무 예뻐요ㅠㅠㅠ 블루 유광 진짜 찬란하고 예쁨 흑흑,
6828,"하늘색 쓰는데 예뻐욥,,, 저케이스도 이쁜데 갖고싶다",
6829,버즈 안쓰지만 사고싶다...,
6830,갤럭시 S가 그 10년전에 나온 그 갤럭시 S 말하는건가욤,
6831,1억화소니까 s20 울트라지 않을까욥??!,
6832,글겠죠? 갤S 카메라 말고 작동 성능을 기억하는데 성능은 고따구로 민들고 카메라가 예술이었나 했네여,
6833,잌ㅋㅋㅋㅋㅋㅋㅋ,
6834,뭔가 무서워욥...,
6835,ㅓ헐,
6836,와..,
6837,기술 엄청 발달했네요,
6838,와 대박....,
6839,굳이.. 휴대폰이 저렇게까지 좋을 필요없다 생각해요...ㅜㅜㅜㅜㅜ 언제부터 휴대폰 한 대가 100만원 그냥 넘는지ㅜㅜ 제발 필요한 기능만 넣은 폰 만들어주세요ㅜㅜㅠㅠ,
6840,22...사진 저정도로 활용해서 찍을 사람들은 dslr같은 카메라 쓰겠죠....,
6841,저렴하고 쓸만한 보급형폰들 엄청 많습니다!,
6842,"삼성에서 보급형 꾸준히 출시해요!갤럭시A시리즈가 보급형으로 나오는 것들인데 저런 고가,고성능 제품을 주로 광고해서 그렇지 찾아보신다면 출고가 60만원대~그 이하인 것도 찾아보시면 많답니다..워낙 성능 상향평준화라 그렇게 나쁜 성능들도 아니구요",
6843,22 찾아보면 s아니어도 많아요,
6844,케이스들은 .... 보급형 위주로 잘 안나오지 않느요...?ㅠㅠㅠ,
6845,J 이런 시리즈는 잘 안나오는데 A시리즈는 잘 나와요!,
6846,유 정말요???? 오호!! 다행이내요!!ㅎㅁㅎ,
6847,맞아요 s시리즈만 쓰다가 a90쓰는데 완전 만족해요!,
6848,왘ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ오ㅑ진짜..,
6849,와..,
6850,와...,
6851,와 첫번째 사진 보고 놀랐네요..,
6852,헐ॱଳ͘,
6853,이거는 셀카 찍어서 올렸다가 누가 확대해서 올리면 소름이겠다... 특히 연예인들은 숟가락도 확대하고 눈도 확대하는데 이렇게 잘 보이면...,
6854,저거 후면이라서 셀카는 저만큼 안해요!,
6855,후면으로 셀카 찍는 아이돌분들 많아서요... 뭐 그 분들은 아이폰 쓰시겠지만... 괜한 노파심에...,
6856,삼성 보급형 좋은 거 많아욤 A시리즈로 가면 무난무난,
6857,허얼.......,
6858,한창 마스크 대란일때 약국앞에 줄 많이 서있나 확인하려고 망원경 대용으로 쓰곤했었죠...,
6859,아 왜요,
6860,아 왜...,
6861,저는 싼 요금제만 쓰는디요...,
6862,엑 왜 lte안해주냐구요ㅠㅠㅠㅠ 그러 자급제로 폰만 사서 유심끼워도 lte는 안되는건가요ㅠㅠㅠ,
6863,아니용 저 5G 모델 자급제로 구매해서 유심 끼워서 lte 사용 중이에요~ 자급제는 가능해요!,
6864,오 자급제는 가능한가보네요ㅠㅠ 다행이네요 알려주셔서 감사합니다ㅎㅎ,
6865,통신사,
6866,대체 왜??,
6867,흠 그런데 자급제 사서 유심 바꿀 수 있지 않나요?? 굳이 5g 개통 안해두...ㅜㅜ 이렇게 살라고 했는데 아닌가요,
6868,우리나라 5G 되는곳 서울이랑 수도권밖에 없지않나요 ㅠㅠ,
6869,지방인데 대학가엔 설치 되어 있긴 해요 삼성 서비스센터였나 거기서 그러더라구용 실제로 학교에선 잡힌답니다..!,
6870,비싼 요금제 쓰게 하려고 쌩쇼를 한다ㅋㅋㅋ,
6871,직구각이다,
6872,띠용,
6873,아 짜증나.. 어차피 지방 살아서 쓸일도 없고 잘 되지도 않는거 요금만 더 내고 강제로 쓰게 만들어버리네ㅋㅋㅋ,
6874,이러면 안산다구요..퓨ㅠㅠ,
6875,차별하네,
6876,뭐하자는거요..,
6877,5g나온다고 해서 4g로 못쓰진 않아요 차별이긴 하다만 요금제 걱정이시면 5g쓸적에 4g로 바꿀거면 4g 공기 계만 있음 유심칩 왔다갔다 하면서 하몀 가능했긴 한데요.. 왜 애플 한국은 차별함 우리는 왜 엘티이 안내줌???,
6878,기사 보시면 아시겠지만 이동통신사의 의견을 반영한 결과이지 애플의 차별이 아닙니다!,
6879,ㅜㅜ웨요?! 5g요금제비싸요ㅠ,
6880,애플 한국 호구로보는거 한두번도 아니고 놀랍지도 않다ㅎ,
6881,윗댓 봐주세여,
6882,통신사 의견 때문이지 애플에서 독단적인 결정은 아닌 것 같아요,
6883,이동통신사 의견으로 3사 다 5G만 출시한다는게 주 내용인데 제목은 애플만 잘못하는 것 처럼 쓰여있네요,
6884,지금 5g요금제 써도 어차피 5g 지원 지역이 적어서 맨날 LTE로 바뀌던데 이건 개선 시켜주고 5g만 내겠다는 건가,
6885,12사랴고 기다리는 중이었는데... 왜...,
6886,오마이갓....,
6887,"오 안사요,,",
6888,근데 z flip 5G는 기기는 그대로이고 5g 버전인건가요 아니면 제트플립2 인건가요??,
6889,2는 아니고 스펙 약간 업글한 5g 전용버전입니다,
6890,아 감사합니다!!,
6891,엥 머야ㅠㅠㅠㅠ살라했는데..,
6892,통신사 쪽에서 다 그렇게 내기로 했네욤.... ㄴㅇㄱ,
6893,통신사 의견인데 기사는 무슨 애플 탓인마냥 ㅋㅋ,
6894,이통사 진짴ㅋㅋㅋㅋㅋㅋㅋ,
6895,^^......... 통신사,
6896,"이동통신사 의견 반영해서 LTE 모델은 한국에서 출시 안 하고 5G 모델만 출시한다고 하네요그 외 5G 모델만 출시 예정인 기기들삼성 : 갤럭시노트20 시리즈, 갤럭시폴드2, 갤럭시Z 플립 5GLG : 10월 신모델 윙https://www.instiz.net/pt/6757901애플만 하는 게 아니라 다른 스마트폰들도 다 그렇게 나오고 통신사 잘못이에요 내용을 잘 읽어봅시다",
6897,통신사가 고객들을 호구 취급하는거네요ㅠ,
6898,왜 니들이 갑질이야,
6899,통신사들 저러는거 진짜 싫다ㅠㅠㅠ,
6900,빨리 나와만 주세요,
6901,갑질 기분 나쁘긴 하네요 기기값도 비싼데 요금제까지 해먹으려고,
6902,"5g 잘 되지도 않는다고 들었는데 왜 이렇게 강행하는건가요,,,",
6903,??????,
6904,통신사 갑질 아닌가요 소비자가 선택하게 해야지자기들끼리 정해서 팔면 저희는 따라야하나요? 불합리한데,
6905,직구로 lte자급제폰사서 씁니다,
6906,"직구해야지 ,,,",
6907,네?,
6908,5g 별론데... 하...,
6909,직구 한다,
6910,공기계 사야지 허허,
6911,아... 그럼 나 못바꿔!!!!!!!!!,
6912,5g 전용 모델이어도 공기계 사서 유심 끼우면 lte 쓸 수 있나요?!,
6913,네 가능합니당,
6914,감사합니다! 그렇게 해야겠어요😳😳,
6915,5g 잘 안돼는데...🤦‍♀️,
6916,아니 .. 5g시대를 왤케 못열어 안달인지...,
6917,5G요금제 개통 후 LTE요금제로 변경하면 사용가능해용 아니면 그냥 LTE유심으로 유심기변 해두 되구여직구 해도 되고 방법은 많음... 요점은 저걸 '이동통신사'가 각 제조사에 이렇게 해달라고 요청한거죠자국민을 호구로 보는 기업들 대단하네요,
6918,5G 요금제에서 LTE 요금제로 못 바꾸지 않나요? 통신사에서 불가능하다고 안내하던데,
6919,에???어제 폰 샀는데 4개월만 5G쓰다가 엘티이로 바꾸는거 가능해요!,
6920,"뭐 lte폰 계속 써야겠어유5g사도 제대로 쓰지도 못하는데 돈 아깝,,이통사한테 일부러 돈 퍼줄 이유는 없죠",
6921,이통사 갑질 진짜 쩔어요...,
6922,아니 5g 제대로 쓸 수 있게 통신망을 제대로 구축해주던가요ㅠㅠㅠ,
6923,그럼 폰만 사고 유심 바꾸는거 안되는거예요 ? 폰만 살라했눈뎅 ㅠㅠ,
6924,아 왜,
6925,자급제도 4G 못사나요? 통신사 진짴ㅋㅋㅋㅋㅋㅋㅋ,
6926,폰 일시불로 사거나 직구하면 현재쓰던 유심 끼우면 lte 사용 가능 한거죠? 아 진짜 5G필요없는데ㅠㅠ,
6927,네네 자급제로 구매하고 쓰던 유심 끼우면 쓰던 요금제 그대로 사용 가능해요 !,
6928,알려주셔서 감사합니다ㅠㅠ!,
6929,이통사 갑질 짲응^^ 직구할게요^^,
6930,아니 우리동네는 5G 되지도 않는데 왜 그 요금제를 써야되냐고요 망이나 다 깔고 그런 의견 내세우시던가 거의 베짱장사네,
6931,놑9 오래가자...^^!,
6932,직구 해야겠네요 저는 LTE도 만족하는 사람이라ㅋㅋㅋ,
6933,통신사 끼고 바꾸지 말아야지 공기계사야겠네오,
6934,5g 통신망 구축도 제대로 안돼있고 사실상 인간이 체감하기에 큰 속도 차이도 없어서 고객들 피빨아먹으려고 어줍잖게 머리쓴게 보여서 괘씸함 아직 제대로된 안정화나 상용화도 안돼있는데 이렇게 막무가내로 굴건 뭐람,
6935,직구해야지ㅋㅋ,
6936,5g진짜  쓰지도못하는데,
6937,통신사 낄끼빠빠..,
6938,노어이... 역차별 아닌가요?,
6939,왜요 우리도 줘요,
6940,요금 너무 비싼데 이럴거면 기기만 따로 구해서 알뜰요금제쓰죠,
6941,아 왜 ⸌◦̈⃝⸍ʷʰʸˀ̣ˀ̣ˀ̣,
6942,옛날이랑 똑같은 짓 그대로 하네요.,
6943,통신사 상술 쩌네,
6944,헐 우와 공기계 사서 유심만 바꿔 끼우면 지금 요금제 그대로 쭉 쓸 수 있는 거였어요?,
6945,ㄹㅇ 갑질이네,
6946,5g 통신망이나 제대로 구축하고 그렇게 하지ㅋㅋㅋ 작년에 5g로 바꿨는데도 시골살아서 lte만 써요ㅋㅋㅋㅋ 요금은 5g인데ㅋㅋ,
6947,5g 요금제이면 뭐 해 5g가 안 뜨는데......,
6948,예?,
6949,아 진짜 싫다,
6950,5G폰사고 LTE써요 ㅎㅎ 망도 제대로 확대도 안 하고 배터리소모도 엄청 심하던데 굳이,
6951,5G 전 지역에서 터지게 해주는게 먼저 아닌가ㅋㅋ... 사봤자 지방은 5G 쓰지도 못하는데요,
6952,아쉽네요... 5G를 사용할 수 있는 환경도 아직 구축이 되지 않은 마당에 앞으로 출시되는 핸드폰들이 모두 5G 요금제를 이용해야 할 수도 있다는 게 ㅠㅠ,
6953,이제 통신사껴서 폰 안사요 일시불로 사고 알뜰폰 요금제 쓰는게 이득,
6954,"폰바꿔서 5g인데 지하철에선 무조건 lte그리고 솔직히 5g량 lte 속도차이도 모르겠,,걍 돈만 나가고ㅋㅋㅋㅋㅋㅋ섭스셉터에서 말하길자기들도 5g는 배터리 빨리닳는 등의 문제로lte로 바꿔놓고 쓴다곸ㅋㅋㅋㅋㅋㅋㅋ",
6955,5G는 문제 많고 이통사 갑질은 더 심해지는데 제도 같은 거 생겨야 할 것 같아요 통신사가 세 개라 거의 독점이랑 다를 게 없는데....,
6956,응 직구할게요ㅎㅎㅎ진짜 악질이다,
6957,아 이건 통신사가 잘못인거같은데....아직 제대로 구축된 것도 아니면서ㅜㅜ지방 사는 사람들은 어쩌라고요....,
6958,어차피 카메라 소리나는것도 짜증나고 직구할랍니다....,
6959,알뜰폰요금제 최곱니당 한달에 이만원도 안나가요~~!!무제한해도 3만원 안할껄요~~,
6960,애플이 안내주는거 아니고 이통사에서 갑질하는건데 왜 야기서 애플 욕하는 분들이 있는지 모르겠네요,
6961,지방은 5g 터지는 곳도 적은데 저게 뭔... 인프라를 먼저 구축 싹 해놓고 저러든가 이통사들 갑질 진짜,
6962,"요금제 비싸다고요.... 선택지를 줘야지ㅠ 아 직구하기 귀찮아라,,,",
6963,촌구석이라 5g폰 사도 좀만 이동하면 안 터지는데요... 애플 스토어에서 기기만 사는 것도 그럼 lte 안 되는 건가요...?,
6964,5G를 제대로 다 깔아주든가... 5G요금제 쓰는데 내 폰은 항상 LTE야...,
6965,으휴 속보인다 속보여,
6966,통신사 갑질.. 휴,
6967,예..? 서비스망이 정착하지도 않고 무조건 기기만 공급하면 무슨 소용인거죠???,
6968,아직 5g 잘 안되지 않나요,
6969,애플 잘못 아니고요ㅠ 얼마전에 핸드폰 바꾸려고 대리점 가보니까 앞으로 개통하는 모든 최신 스마트폰은 5G로 개통해야된다고 하더라고요ㅋㅋ 5G가 더 비싸면서 이게 뭔 말인가 했죠ㅋㅋ 그렇다고 어느곳에서나 빠른 것도 아니고 누가 5G로 바꾸고 싶겠냐고요...,
6970,그러면 공기계 사서 지금 쓰고 있는 유심 넣어서 쓰는 건 가능 한가요?,
6971,뒤지고 싶나요,
6972,앜ㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋㅋ 뻘하게 터졌네옄ㅋㅋㅋㅋㅋㅋㅋㅋ,
6973,zzzzzㅋㅋㅋㅋㅋㅋㅋ아,
6974,이것도 갑질아닌가요... 아직 5g도 제대로 못해주면서...,
6975,언제부터 통신사 말 다 들어줬다고 ㅠㅠ,
6976,5G가 LTE보다 좋은 거 아니에요? 그래봤자 핸드폰 요즘 10만 원 내외로 맞춰서 쓸 것 같긴 한데 무제한 못 잃어... ㅜㅜ,
6977,진짜 양아치...아니 5g망을 제대로 다 깔고 팔던가요..ㅋㅋㅋㅋㅋ장난치나 지방에서는 터지지도 않는데,
6978,22ㅠㅠㅜㅜㅜ,
6979,직구할래요,
6980,와ㅋㅋㅋㅋㅋㅋ한국 소비자를 호구로 보네..,
6981,안더ㅐ요 10월말고 2개월만 늦춰주세요 아직 노트10 할부 안끝낫단말이에요 (땡깡,
6982,"장난 똥때리나... 아 아이폰 12한 이유가 없나,,,,",
6983,에휴,
6984,근데저만요즘 유플러스 4G도 안돼요ㅠㅠ?아이폰8입니당,
6985,저두요ㅠㅠㅠㅠㅠ,
6986,저두요 ㅜㅜ8인데 느려졌음...,
6987,요즘 뭔가 속도 느려졌어요ㅠㅠ,
6988,헐 저도요ㅜㅠ8인데 느려요,
6989,헐 저도 유플인데 느려졌어요ㅠㅠ,
6990,지방은 그럼 어쩌란겨,
6991,아 왜요ㅠㅠ우리회사에서 5G안터진다고요ㅠㅠㅠㅠㅠㅠ하ㅠㅠㅠㅠ,
6992,5G 망이 전국에 다 제대로 보급된 것도 아니면서 적당히 해야지 돈 벌어 보겠다고 자국민을 정말 봉으로 보네요,
6993,"아이폰11 살까 그냥,,",
6994,노트8 바꾸고싶었는데 5G 안정되기전까지는 버텨야지,
6995,kt가세요 ㅇ무기간끝나면 lte요금제 사용가능,
6996,오 진짜용????? 그나마 다핼,
6997,"아 진짜요,?????",
6998,이건 상술도 아니고 그냥 양아치짓 아닌가? ㅋㅋ 아이폰 12 존 버중이었는데 이게 뭐람 짜증난다,
6999,❗️이통사 의견❗️ 이미 한국에서 4g 모델 안 내면 그건 이통사 입김이 클거라고 예상 많이 했었어용 요금제야 5g 모델 사서 4g 유심 끼워서 쓰면 된다지만 문제는 기기 가격이 다르니ㅠ,
7000,아이폰 12 기다렸는데 아이폰11살까 그냥...,
7001,그럼 엘티이 모델도 새로 따로 내주든가요 엘티이 선택지 있으면 아이폰 쓸 건데... 마지막 모델이 노트 9인게 정상인가요? 5g통신요금 진짜 덤태기 같은데 아무리 장사꾼이라고 해도 저렇게 속보이면 거부감 들어요,
7002,진짜 통신사들 5G로 억지부리는거 너무 싫어요 아이폰 자급제로 사서 4g 요금제 쓰는 사람들 많이 나올거 같네요,
7003,근데 그러면 대리점에서 12사고 개통 안한다음에기존 아이폰에서 쓰던 유심 뽑아서 끼면 되는건가요?,
7004,5G 수도권에선 전혀 안 끊기고 잘 터지나요?,
7005,아녀 일상입니다 서울에서도요,
7006,"통신사에서는 5G 폰으로 LTE 요금제 사용 불가능하다고 하던데,LTE 요금제 사용하시는 분들은 뭐죵...?",
7007,그분들은 가입을 하신게 아니라 기계만 사신분들이에오!!,
7008,"저도 기계만 사려고 문의했더니, LTE 요금제 사용이 불가능하다고 하더라구요 ㅠㅠ",
7009,아마 메뉴얼 상으로는 안된다고 하는거 같아요,
7010,음 유심기변으로만 사용할수있을거에요!! Lte 유심으로 5g단말기로 확정기변이 안될거거든요만약에 5g폰 엘티이로 쓰고싶으시면 기존이 쓰던 엘티이 유심 꼽고 유심기변으로사용하시면되옹,
7011,kt는 가능해요다른통신사는 안되는걸ㄹ 알아요,
7012,SKT도 됩니다. LTE 공폰이 필요하지만요,
7013,아,
7014,5g 제대로 갖춰지지도 않았으면서 소비자 돈만 받아먹으려고... 직구해야겠네요~,
7015,애플안씁니다이제 ㅋㅋ 5g제대로 작동도안되면서 요금비싸게받아먹는 ㅋㅋㅋㅋㅋㅋ한국이 호구로 보이나보네요,
7016,) 이동통신사들 의견을 반영한거라고하네용!,
7017,제목에는 아이폰만 나와 있지만 본문 내용보면 삼성 애플 엘지 셋 다 한국에선 5g 기기만 출시한대여 그리고 한국에서는 이통사 의견이 쎄대요,
7018,애플이아니라 한국 통신사들이 돈독에 눈 멀은것.. 얘네가 노답입니다,
7019,으휴;진짜 이동통신사 속 보인다 속 보여,
7020,어휴 담엔 갤럭시로 가야겠네요,
7021,삼성도 프리미엄 모델은 다 5g만 내나봐요ㅜㅜ,
7022,삼성은 이통사의 의견을 이미 반영해서 플래그쉽은 전부다 5g인데 애플이 4g내면 경쟁이 안되서 당연하다고 생각해요,
7023,그런데 요즘 5g보다 lte 요금이 더 비싸서...,
7024,절대 lte가 5g보다 더 비쌀수없습니다,
7025,skt 5g 쓰다가 lte로 바꾸려고 했는데 데이터 비교 lte가 더 비싸서 안바꿨어요,
7026,비교하면 그럴수 있는데 데이터 필요 없어서 요금제 낮은거 쓰는사람은 선택지가 없어서 ... 5g는 제일 낮은 요금도 기본요금이 비싸서요 ㅠ,
7027,아...,
7028,왜그러지 도대체,
7029,통신사가 완전 갑질한거 아닌가 .. ?,
7030,"ㅋㅋㅋ5g 요금제 드럽게 비싸던데 우리나라 이동통신사갑질 장난 아니네요 ㅋㅋㅋㅋ 예전부터 그러던데 자국민을 도대체 뭐로 보는지 대단하십니다,,^^* 그리고 할 거면 제대로 5g를 구축하세요 진짜 다들 승합차에 타봐,,",
7031,안그래도 자급제로 살려고했는디..,
7032,✊,
7033,음....?,
7034,"와 일단 10월에는 12가 나오는군요,,, 미뤄지는줄 알아ㅛ는데ㅠㅠㅠ 다행이에요",
7035,'이동통신사 의견 반영해서',
7036,진짜 뭔...,
7037,아 뭔 소리야 lte 돌려줘요,
7038,뭐야 lte내놔요,
7039,돈받았구나 어휴 진심 호구로 보네,
7040,그냥 기계만 사고 4g유심 낄게여,
7041,통신사 왜 그러냐,
7042,유플러스.. 저만 느려요..?,
7043,5g별로라는데 후ㅠㅠㅠㅜ,
7044,그냥 안 쓸게요,
7045,아..원래 쓰는 요금제가 싸서 선택지 없어지는 거 싫은데ㅠㅠㅠㅠㅠ...안그래도 기기값도 비싼데 요금제 비싸지면 넘 부담스러워요....,
7046,전 5g 요금제지만 5g 한번도 안써봤어요 터져야쓰죠 ㅋㅋㅋㅋㅋㅋ,
7047,걍 자급제로 사서 유지해야할듯용,
7048,그냥 쓰던 폰 써야겠네요,
7049,5G 나름 잘 터지는 곳에서 사는데 빨라서 좋긴 해요... 다만 매번 터지지 않는다는 점이 아쉽죠,
7050,통신사들 거의 양아치아니에요?,
7051,뭐야 왜죠ㅠㅠㅠ,
7052,5g 잘 터지지도 않는데 무슨..,
7053,5G 5쥐게 안 터지는데요... 심지어 5G 안 터지면 4G 잡는데 얘마저 안 터짐... 사람 복장만 터짐...,
7054,ㅋㅋㅋ진짜ㅠ상술,
7055,뭐여,
7056,5G 싫은데... 8ㅅ8,
7057,선택의 폭을 좁혀버리네..ㅋㅋㅋ,
7058,12 기다리고 있었는데 11 사야 하나,
7059,5g쓰는 친구 보니까 4g랑 그렇게 차이나게 빠른지도 잘 모루겠던데... 친구 맨날 렉먹는다고 설정에서 4g로 바꿔쓰더라는..,
7060,진짜 양아치네ㅋㅋㅋㅋㅋㅋㅋㅋㅋ 살 마음 싹 사라지네,
7061,터지지도 않는다면서요ㅠㅋㅋㅋ 왜 5G만 낸다고 억지 부리냐고 통신사야,
7062,전 노트10플러스 쓰는데 엘티이요금써요!기존엘티이폰에 유심넣고 요금제 바꾼다음에5g폰에 꽂아서 쓰면 돼요ㅠㅠ근데 저렴했던 엘티이 요금제들도 많이 사라졌더라고요엘티이쓰는게 이렇게 힘들어지다니 슬퍼요,
7063,5G 절대 쓰지마세요 저희 부모님 5G로 바꾸시고 뿔 제대로 나셨어요...저희집 서울인데도 제대로 안돼요,
7064,이게 무슨 일이야 우리 지역은 그런 거 안 터져요,
7065,아니 그럼 지방 사람은...후...🤦🏻‍♀️,
7066,5G 되긴 하나요? 제대로 터지지도 않는다던데 ㅋㅋㅋㅋㅋㅋ 비싼 요금제 값만 받아먹으려고 하는 건가요 ㅇㅅㅇ?,
7067,5G 제대로 터지기라도 하면 모를까 어이가 없네,
7068,진짜 어이없네....,
7069,아니...ㅋㅋㅋㅋ 요금제를 제대로 개편하기를 했나 가격이 싸기를하나 전국적으로 5G망을 잘 터지게하길했나 그무엇도 하나 제대로 된게 없으면서 통신사들 뭐하는지 모르겠네요? 심지어 부가적인 서비스도 제대로 제공해 주는것도 없으면서ㅋㅋㅋㅋㅋ,
7070,맘놓고 11 사야겟다ㅎㅎㅎㅎ,
7071,와우ㅋㅋㅋㅋㅋㅋㅋ,
7072,이래놓고 또 나오면 엄청 잘 팔리겠쥬... 제발 사시마세요ㅠㅠㅠㅠ,
7073,아니 근데 5G 지원하는 폰 기종이면 LTE도 지원을 할 텐데 통신사에서 자기들 고가 요금제 팔아먹으려고 일부러 통신사 통해 구매할 때는 5G 요금제만 가능하도록 하는 거 완전 잘못된 거 아닌가요? 이런 건 공정위에서 조사하고 처벌해야 할 것 같은데,
7074,이건 분명 통신사 측에서 반대했을거 같네요-- 알뜰폰 써야하나요 이제,
7075,"딴 얘기지만.. 요즘 LTE 너무 느리지 않나요..?예전엔 엘레베이터 안에서도 잘 터졌고 전화통화하면서도인터넷 서치가 됐었는데, 요즘은 조금만 통신약한곳이나 통화하면서는 절때 제대로 터지지도 않아서 무한로딩만 되고, 인티 짤들 보고싶은데도 로딩시간이 너무 길어서 뒤로가기 하게되더라구여..",
7076,내가 오기로라도 지금 폰으로 최대한 더 버팁니다.,
7077,11 사려고 이미 맘먹움,
7078,이통사 갑질아닌가...,
7079,5g가 잘터지면 모르겠는데ㅠ 저 5g폰 쓰는데 5g써본적이 손에 꼽아요ㅋㅋㅋㅋㅋ,
7080,전 항상 자급제폰 사서 알뜰폰 유심요금제 사용해서 그런지 괜찮.. 지금폰도 5g폰인데 그게 더 싸게 이용할수있어요통신사 혜택 잘 안쓰시는 분들은 무조건 알뜰요금제 쓰세요,
7081,엥,
7082,아니 왜 ⸌◦̈⃝⸍ʷʰʸ?????? 엘티이 내 줘요,
7083,아이폰 사야지~,
7084,애플 공홈에서 사서 알뜰폰으로 가야겠다...,
7085,5g로만 기기 낼거면 요금제라도 다양하게 만들어서 금액대 내려주던가요 ㅠㅠ,
7086,5g 기본 요금제가 5.5인 거 같던데 ㅠㅠ 갑자기 부담이 확 느네요 이제 고가 폰 사려면 달에 8~9만원은 기본으로 내야한다니 ...,
7087,왜요.......ㅠㅠㅠ,
7088,헐,
7089,저건 애플 문제가 아니라 한국통신사들 문제 아닌가여??,
7090,네?? 지금 딱 폰 바꿀 시긴데 12 나온대서 11 안사고 있었는데 ㅜㅜ 뭐에유 나한테 왜그래유ㅠㅠㅠㅠㅠ그냥 바꿔야되나ㅠㅠㅠㅠㅠㅠㅠㅠ,
7091,'_',
7092,ㅋㅋㅋ...제일짜증남 결국 공기계써서 lte로 바꿈,
7093,5g가 잘 터지면 그럴려니 가능한데 잘 터지지도 않는 반쪽짜리 5g 가지고 왤케 억지를 부리는지,
7094,솔직히 데이터 잘 안쓰는 사람은 핸드폰 바꾸기도 힘드네요.. 6기가 만육천원에 부족함없이 쓰고 있는데 5g는 기기값도 통신비도 비싸서,
7095,자급제로 사야겠당,
7096,여러분 자급제에서 알뜰폰 요금제 쓰세요.. 정말 절약돼요,
7097,22 알끌폰 자급제 최고입니다 기기만 사서 데이터 무제한에 통화 무제한 요금제 가입하면 한달이 33000원 밖에 안들어요,
