,comments,label
111,이어폰은 없애도 충전기는 내줘라 맨날 망가지고 잃어버리니께,
112,이걸 왜 따라해 삼성 ㅜㅜㅜ 그러지마 ㅜㅜㅜ,
113,샘송......그러지마라...,
114,좋은거만 따라해요 제발ㅠㅠㅠ,
115,식당가서 냅킨이나 물티슈 제공 안하는 기분인데요,
116,애플이랑 삼성 대결구도로 있기때문에 거의 시장 독점이긴 한데.. 어쨌건 두 회사에서 휴대폰을 구매하는 사람이 대부분이잖아요 애플도 구성 빼고 삼성도 구성 빼도 둘 다 같이 빼니 크게 달라질건 없으니까 두 회사 모두 이득을 보겠지만 소비자는 기분 나빠요,
117,이러지마라 삼성... 나 휴대폰 뭐쓰라고 이제ㅠㅠ,
118,충전기 버리지마 삼성...,
119,삼성아 나쁜것좀 따라하지 마라.....,
120,"감성이나 그런거 따라해줘 저런 거 따라하지마,,, 아니 이어폰은 빼도 충전기는 안돼,,;,,,,,,ㅠㅠㅠ",
121,아 진짜 싫...,
122,폰바꾸는김에 충전기도 바꾸는데... 안주면...짜증나내요..가격이 많이 떨어지는것도 핸드폰가격이 싼것도 아닌데요... 일체형 배터리되서 1년마다 갈아주는것도 4 5만원씩이고 배터리 또싸고  5G요금제는 비싸고....ㅠ 충전기까지 빼버린다니 너무하네용...,
123,ㅠㅠㅠㅠㅠㅠㅠㅠ아이폰 충전기 뺀 거 짜증나서 갤럭시 샀는데 갤럭시도ㅠㅠㅠㅠㅠ,
124,진짜 따라쟁이 이런건 따라하지말지,
125,왜그래,
126,삼성은 다른 길을 가지... 애플에 회의적이어서 삼성으로 돌아서려니까 저 모양이네. 차라리 이 기회에 팬층 확 끌어오지,
127,하......,
128,아니 조롱을 하지말던가..,
129,주고 아이폰으로 떠나갈 것같은 사람 잡아야지....,
130,서로 왜 별로인 걸 그리 따라하시나..,
131,아니라고 해주세여..,
132,아니 대체 왜......,
133,짜증...그렇다고 엘지로 갈 수도 없고...이러면 걍 애플로 갈까,
134,왜이런거 따라해 삼성..ㅜㅜㅜ,
135,"너네 왜그래 진짜,,,,",
136,엥? 아니 갤럭시로 갈아타려로 했는데 이게 무슨...?,
137,아,
138,최악...,
139,이런건 따라하지 말지 ㅠㅠ 하...ㅠㅠ 아쉽네여,
140,충전기 좀 줘요...폰바꿀때면 이미 충전기 작살나있단말여,
141,"아니 대체 왜 따라하는거냐구여,,,",
142,신청하면 무료로 주면 더 좋은거아닌가,
143,아니면 지금은 미국에서 주고있는 데 후에는 아예 빠진다는 얘긴가,
144,빠진만큼 가격만 낮춰서 나온다면 오히려 환영,
145,ㅋㅋㅋㅋㅋㅋㅋ저런거 따라하지 말라구,
146,쓸데없는것만 따라하네...,
147,엥? 너무한거 아니냐구....,
148,아니 이걸 왜... 다음엔 엘지가야하나...,
149,왜 자꾸 이상한거 따라하는거죠? 이어폰은 버즈 쓰면 되니깐 충전기라도 줘요ㅠㅠㅠ,
150,?,
151,아 니는 또 왜그러는데... 나 갤럭시 갈아타려고 했단말이야... 20사야되나...,
152,노트 20 기본 구성품에 이어폰 있던데 뭐죠..?,
153,아.......ㅜㅜ,
154,삼성 왜그래 진짜... 잘하자,
155,안돼ㅜㅜㅜ,
156,별걸 다 따라하네,
157,그걸 왜 따라해요..... ㅠ,
158,아니 장점을 버려버리네,
159,원가절감 따라할거면 조롱이나 하지 말던가 멋없게 ㅜㅜ,
160,아....정말..,
161,이럴때일수록 평소처럼 충전기 이어폰만 줘도애플보다 낫다라는 소리 듣고 칭찬 받을텐데 생각이 너무 없네요;,
162,안돼,
163,아니 삼성 제발ㅠㅠㅠ,
164,진짜 너무한닽ㅋㅋㅋㅋㅋㅋ,
165,아니 왜............. 그냥 충전기 줘요 ㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠㅠ,
166,살 핸드폰이 없네여...,
167,샘송 왜그래요...,
168,아니 내년에 핸드폰 바꿀라구 기대하고 있었는데...,
169,아니 역으로 이걸 이용할 수도 있을 거 같은데 왜 따라하냐구요 샘송...,
170,그래도 서비스는 삼성이 낫네 했는데...아이폰으로 바꿀 명분 하나 더 제공해줘서 고오맙디ㅏ,
171,삼성..제발 하지마...,
172,왜그래..,
173,"일 진짜 못해,,,",
174,헤엥 이어폰은 주지!!!,
175,씁...자꾸 안좋은 것만 따라하네 애플이 저렇게 해도 잘 팔리니까 본인들도 그렇게 할거란 말인가...?,
176,아 오ㅑ저래,
177,헐?,
178,삼성은 어차피 씨타입 호환가능해서 괜찮아요,
179,지금까지 집에 충전기가 4~5개라..,
180,뭔 소리예요,
181,오히려 그대로 유지해야 이미지랑 고객 유치에 유리할텐데.. 에휴휴휴,
182,뭘 이런걸 따라하나,
183,선택사항으로 두면 좋겠는데요...하..,
184,저것만 제대로 챙겨줘도 이미지 챙길 수 있을텐데 왜 저래,
185,충전기 뺀 걸 조롱했어요...?,
186,야,
187,왜.. 왜 그러는거에요?,
188,그걸 왜 빼요..???,
189,아 진짜 왜 그래...,
190,삼성은 ㄹㅇ 괜찮은 호환 되니까요,
191,"근데 삼성은 충전기가 다른 것도 아니라 문제 없어보이는데요,,, 물론 충전기랑 이어폰 제공을 안 하면 그만큼 가격을 낮춘다는 전제하에요",
192,그르게요. 그만큼 가격낮추고 추가구성 옵션으로 넣어놓으면 더 좋지않나요?,
193,아니 그럼 아이폰에서 갤럭시로 바꾸는 사람은 또 사야겠네요... 근데 이쯤되면 애플이 불쌍해질지경 맨날 욕은 먼저 먹고 막상 까놓고보면 다른 회사들도 저러니....,
194,이어폰 신청하면 무료로 준다는데요??? 걍 기사 제대로 안읽는분 많아보이ㅁ...,
195,?,
196,근데 뭐 시장성 원리 아닌가요 충전기 미지급에 욕은 하지만 결국 구매율은 똑같으니ㅋㅋㅋㅋ 삼성도 손해 볼 순 없느니 따라가는 것,
197,어차피 샘송은 씨타입 호환 되는 거니까 뺀만큼 가격 저렴해지면 이득이긴하겠다,
198,아니 이어폰이랑 충전기랑 같냐고요~~~!,
199,아니 이걸 왜 따라하는건가요ㅠㅜㅜㅜㅜ,
200,갈아타려는 사람들 생각 좀...,
201,왜빼는데!!!,
202,아 너무들 하네,
203,안 좋은 거만 따라해 왜ㅠㅠ,
204,ㅠㅠ이어폰은 넣어달라구요......,
205,"아니 근데 따라할 거면 비꼬질 말던가 비꼴 거면 따라하질 말던가,,,,",
206,삼성... 그러지 마 ㅠㅠㅠㅠㅜ,
207,삼성충전기 자주고장나는데 왜 빼는거임ㅋㅋ,
208,"가격이라도,,, 내려줘,,,,",
209,따라할게 따로있지 이걸따라하시나요;,
210,대체 왜 별 쓸데도 없는 것까지 자꾸 따라 하는 걸까? 반응 안 좋은 걸 알 텐데...,
211,이번 애플 발표회때도 애플이 자랑스럽게 환경을 위해 다른 브랜드도 동참하세요!!라고 말했으니..,
212,아 진짜 짜증나네요ㅠㅠ,
213,왜 안좋은 것만 따라하려고 하나....,
214,환경보호한다는 핑계대면 얼마나 욕먹을라나요,
215,ㅋㅋㅋㅋㅋㅋㅋㅋ,
216,애플이 총대 매는 거죠 뭐,
217,아직 팩트가 아니라 전망 아닌가요...?,
218,왜저래....에휴...,
